year,january,february,march,april,may,june,july,august,september,october,november,december,year_avg
1950,12.02250234,12.2633658,12.92298898,13.85752414,14.80354153,15.50767367,15.77721341,15.535089,14.85357517,13.91428731,12.97117462,12.27914551,13.90128899
1951,12.02244943,12.25928869,12.91593089,13.84924404,14.79627773,15.50337075,15.77703455,15.53914128,14.86070268,13.9225633,12.97838356,12.28333864,13.90128746
1952,12.02243299,12.26432076,12.93646887,13.87327867,14.81731188,15.51577341,15.77745299,15.52729213,14.83996449,13.8985421,12.95751,12.27125535,13.89626925
1953,12.02258142,12.26707243,12.92937478,13.86499714,14.8100816,15.51152998,15.77734352,15.53140479,14.84712712,13.90681848,12.96468448,12.2753885,13.90129034
1954,12.02249558,12.26296663,12.92229955,13.85671628,14.80283363,15.50725525,15.77719757,15.53548575,14.85427135,13.91509474,12.97187714,12.27955321,13.90128884
1955,12.02244622,12.25889263,12.91524332,13.84843627,14.79556813,15.50294928,15.77701515,15.53953492,14.86139704,13.9233707,12.97908783,12.28374941,13.90128731
1956,12.02243334,12.26392203,12.93577594,13.87247069,14.81660727,15.5153608,15.77744391,15.52769476,14.84066409,13.89934955,12.95820915,12.27165719,13.89626968
1957,12.02257144,12.26667047,12.92868368,13.86418922,14.80937526,15.51111431,15.77733088,15.53180433,14.84782493,13.90762593,12.96538541,12.27579342,13.9012902
1958,12.02248915,12.26256776,12.9216103,13.85590844,14.80212557,15.50683653,15.77718138,15.53588219,14.85496736,13.91590216,12.97257983,12.27996121,13.90128869
1959,12.02244335,12.25849688,12.91455593,13.84762852,14.79485836,15.50252752,15.7769954,15.53992826,14.86209124,13.92417809,12.97979227,12.28416047,13.90128716
1960,12.02243404,12.26352359,12.93508318,13.87166271,14.81590249,15.51494789,15.77743449,15.52809709,14.84136351,13.900157,12.95890847,12.27205934,13.8962701
1961,12.0225618,12.26626881,12.92799276,13.8633813,14.80866875,15.51069835,15.7773179,15.53220357,14.84852257,13.90843338,12.96608651,12.27619865,13.90129005
1962,12.02248308,12.2621692,12.92092123,13.8551006,14.80141735,15.50641751,15.77716484,15.53627833,14.85566319,13.91670959,12.97328269,12.28036951,13.90128854
1963,12.02244084,12.25810142,12.91386872,13.84682077,14.79414843,15.50210546,15.7769753,15.54032129,14.86278525,13.92498547,12.98049688,12.28457184,13.90128701
1964,12.02243508,12.26312547,12.93439061,13.87085474,14.81519754,15.51453468,15.77742472,15.52849911,14.84206276,13.90096446,12.95960796,12.27246178,13.89627053
1965,12.02255252,12.26586745,12.92730202,13.86257339,14.80796207,15.51028208,15.77730458,15.5326025,14.84922003,13.90924082,12.96678778,12.27660417,13.90128991
1966,12.02247735,12.26177094,12.92023234,13.85429277,14.80070895,15.50599819,15.77714795,15.53667416,14.85635885,13.91751701,12.97398572,12.28077811,13.9012884
1967,12.02243867,12.25770627,12.91318169,13.84601303,14.79343834,15.5016831,15.77695485,15.54071402,14.86347908,13.92579285,12.98120167,12.28498351,13.90128686
1968,12.02243647,12.26272764,12.93369821,13.87004678,14.81449242,15.51412117,15.77741461,15.52890084,14.84276184,13.90177191,12.96030763,12.27286452,13.89627096
1969,12.02254358,12.26546639,12.92661146,13.86176549,14.80725522,15.50986552,15.7772909,15.53300113,14.84991731,13.91004827,12.96748922,12.27701,13.90128976
1970,12.02247197,12.26137299,12.91954363,13.85348495,14.80000039,15.50557858,15.77713072,15.5370697,14.85705433,13.91832442,12.97468893,12.28118701,13.90128825
1971,12.02243685,12.25731143,12.91249485,13.84520531,14.79272808,15.50126045,15.77693406,15.54110645,14.86417274,13.92660023,12.98190662,12.28539547,13.90128671
1972,12.02243821,12.26233012,12.93300599,13.86923882,14.81378713,15.51370736,15.77740414,15.52930226,14.84346074,13.90257937,12.96100747,12.27326757,13.89627139
1973,12.02253499,12.26506563,12.92592108,13.8609576,14.80654821,15.50944865,15.77727688,15.53339946,14.85061442,13.91085571,12.96819083,12.27741612,13.90128961
1974,12.02246694,12.26097534,12.9188551,13.85267714,14.79929167,15.50515867,15.77711314,15.53746493,14.85774963,13.91913184,12.9753923,12.28159621,13.9012881
1975,12.02243538,12.25691688,12.91180819,13.84439759,14.79201765,15.5008375,15.77691292,15.54149858,14.86486622,13.9274076,12.98261174,12.28580773,13.90128656
1976,12.0224403,12.26193289,12.93231395,13.86843087,14.81308167,15.51329326,15.77739333,15.52970338,14.84415947,13.90338682,12.96170748,12.27367092,13.89627183
1977,12.02252674,12.26466518,12.92523088,13.86014971,14.80584102,15.50903149,15.77726251,15.53379749,14.85131135,13.91166315,12.96889262,12.27782255,13.90128947
1978,12.02246226,12.26057799,12.91816676,13.85186933,14.79858277,15.50473846,15.77709521,15.53785986,14.85844475,13.91993925,12.97609585,12.2820057,13.90128795
1979,12.02243425,12.25652265,12.91112171,13.84358989,14.79130706,15.50041425,15.77689144,15.5418904,14.86555952,13.92821496,12.98331703,12.2862203,13.90128641
1980,12.02244273,12.26153598,12.93162209,13.86762292,14.81237605,15.51287885,15.77738218,15.53010421,14.84485803,13.90419427,12.96240767,12.27407457,13.89627226
